Name	Reign	Dynasty	Group symbol	Note
عَبْدُ الله الأكبر	200 BC–182 BC	House Ash	ᴬ	Arabic
Пётр Алексе́евич Тре́тий	182 BC–164 BC	House Ash	ᴬ	Russian
Quill	164 BC–148 BC	House Ash	ᴬ	
Æthelred the Ørð-Keeper	152 BC–139 BC	House Ash	ᴬ	Long three-word name + Latin extras
Ryn	148 BC–131 BC	House Ash	ᴬ	
司马 长安 公	131 BC–118 BC	House Ash	ᴬ	Chinese
Tess	122 BC–104 BC	House Ash	ᴬ	Overlap with 司马 长安 公
Ulric	104 BC–88 BC	House Ash	ᴬ	
Jean-Luc Cœur Aîné	88 BC–71 BC	House Fen	ᶠ	French
María José Ñúñez	71 BC–58 BC	House Fen	ᶠ	Spanish
Yarrow	62 BC–45 BC	House Fen	ᶠ	Overlap with María José Ñúñez
Zed	45 BC–29 BC	House Fen	ᶠ	
Ashen	29 BC–12 BC	House Fen	ᶠ	
राज कुमार सिंह	18 BC–6 BC	House Fen	ᶠ	Hindi; overlap with Ashen
Bramble	10 BC–5 AD	House Dawn	ᴰ	Runs through 5 AD
অশোক ধর্ম রাজা	4 BC–5 AD	House Dawn	ᴰ	Bengali; runs through 5 AD
Alba	2 BC–3 AD	House Dawn	ᴰ	With Bren: 2 BC → 1 BC → 1 AD → 2 AD → 3 AD
Bren	2 BC–3 AD	House Dawn	ᴰ	With Alba: 2 BC → 1 BC → 1 AD → 2 AD → 3 AD
Cael	4–18	House Dawn	ᴰ	
Dara	15–25	House Dusk	ᵈ	First term
Evin	18–21	House Dusk	ᵈ	First term
Fara	20–24	House Dusk	ᵈ	First term
Lira	26–30	House Storm	ˢ	One of seven co-rulers in 30
高橋 陽子 姫	28–32	House Storm	ˢ	Japanese; one of seven co-rulers in 30
Helm	28–33	House Storm	ˢ	One of seven co-rulers in 30
Ione	29–31	House Storm	ˢ	One of seven co-rulers in 30
Jory	29–35	House Storm	ˢ	One of seven co-rulers in 30
Kade	30–34	House Storm	ˢ	One of seven co-rulers in 30
Mira	30	House Storm	ˢ	One of seven co-rulers in 30; single-year reign
Dara	38–45	House Dusk	ᵈ	Second term
Evin	40–46	House Dusk	ᵈ	Second term
สมเด็จ พระ นเรศวร	60–66	House Lotus	ᴸ	Thai
ᠪᠠᠲᠤ ᠮᠥᠩᠬᠡ ᠬᠠᠭᠠᠨ	61–67	House Steppe	ᵍ	Mongolian
ರಾಜ ರಾಜೇಂದ್ರ ಚೋಳ	62–68	House Lotus	ᴸ	Kannada
रामचन्द्र सूर्य वंशः	63–69	House Lotus	ᴸ	Sanskrit
அரசன் கரிகாலன் சோழன்	64–70	House Lotus	ᴸ	Tamil
דָּוִד הַמֶּלֶךְ שֵׁנִי	85–100	House Vale	ᵛ	Hebrew; after vacancies 47–59 and 71–84
Fara	88–95	House Dusk	ᵈ	Second term
Oak	100–110	House Vale	ᵛ	
Mÿra Kōn 龍✦	109–117	House Vale	ᵛ	Long three-word name + CJK/star
Pell	108–118	House Vale	ᵛ	
Quin	115–122	House Vale	ᵛ	
Rua	120–128	House Vale	ᵛ	
Sera	125	House Vale	ᵛ	Single-year reign
Σωκράτης ὁ Ἀθηναῖος	126–132	House Vale	ᵛ	Greek
Wynn	130–135	House Vale	ᵛ	
