Name	Ruling period	Name in Kazakh	Group	Group symbol
Kerei	1456–1473	Керей, كيري		
Janibek	1473–1480	Жәнібек, جانيبك		
Burunduk	1480–1511	Бұрындық (Мұрындық), بورونديق		
Qasim	1511–1518	Қасым, قاسم		
Muhammed	1518–1523	Мұхаммед, محمد	Contested	ᴭ
Tahir	1523–1533	Тахир, طاهر	Contested	ᴭ
Buidash	1533–1538	Бұйдаш, بويداش	Contested	ᴭ
Ahmed	1533–1535	Ахмед, أحمد	Contested	ᴭ
Toghym	1535–1537	Тоғым, توغيم	Contested	ᴭ
Haqnazar	1538–1580	Хақназар, حقنازар	Contested	ᴭ
Shygai	1580–1582	Шығай, شیغای		
Tauekel	1582–1598	Тәуекеل, تاوكل		
Esim	1598–1628	Есім, عاصم		
Jangir	1628–1652	Жәңгір, جهانگیر		
Batyr Khan	1652-1680	Батыр, بهادور		
Tauke	1680–1715	Тәуке, تاوكي		
Qaiyp	1715–1718	Қайып, كايب	Post-Tauke	ᶬ
Bolat	1718–1729	Болат, بولات	Post-Tauke	ᶬ
Abulmambet Khan	1729–1771	Әбілмәмбет, أبو المامبيت	Post-Tauke	ᶬ
Ablai Khan	1771–1781	Әбілмансұр, أبو المنصور	Post-Tauke	ᶬ
Kenesary Khan	1841–1847	Кенесары, كينيساري		
Abu'l-Khair	1718–1748	Әбілқайыр, أبو الخير	Junior Juz	ᴶ
Nur Ali	1748–1786	Нұр Әли, نور علي	Junior Juz	ᴶ
Eraly	1791–1794	Ералы, إيرالي	Junior Juz	ᴶ
Esim	1795–1797	Есім, عاصم	Junior Juz	ᴶ
Aishuaq	1797–1805	Айшуақ, ايشواق	Junior Juz	ᴶ
Sher Ghazi	1812–1824	Шер Ғази, شيرغازي	Junior Juz	ᴶ
Bokei	1801–1815	Бөкей, بوكي	Bokei Horde	ᴮ
Shygai	1815–1823	Шығай, شیغای	Bokei Horde	ᴮ
Jäñgir	1823–1845	Жәңгір, جهانگیر	Bokei Horde	ᴮ
Sameke	1719–1734	Сәмеке, سميكي	Middle Juz	ᴹ
Wäli	1781–1819	Уәли, الوالي	Middle Juz	ᴹ
Gubaidullah	1819–1822	Ғұбайdуллаh, عبيد الله	Middle Juz	ᴹ
