Name	Reign	Dynasty	Group symbol	Cause of death
Augustus	27 BC–14 AD	Julio-Claudian	ᴶ	Natural causes (allegedly poisoned)
Tiberius	14–37	Julio-Claudian	ᴶ	Natural causes (allegedly murdered)
Caligula	37–41	Julio-Claudian	ᴶ	Assassinated (Praetorian conspiracy)
Claudius	41–54	Julio-Claudian	ᴶ	Poisoned (allegedly by Agrippina)
Nero	54–68	Julio-Claudian	ᴶ	Suicide
Galba	68–69	Year of the Four Emperors	Ⅳ	Assassinated (Praetorian coup)
Otho	69	Year of the Four Emperors	Ⅳ	Suicide (after Battle of Bedriacum)
Vitellius	69	Year of the Four Emperors	Ⅳ	Assassinated (by Vespasian's troops)
Vespasian	69–79	Flavian	ᶠ	Illness (dysentery)
Titus	79–81	Flavian	ᶠ	Natural causes
Domitian	81–96	Flavian	ᶠ	Assassinated (court conspiracy)
Nerva	96–98	Nerva–Antonine	ᴺ	Natural causes
Trajan	98–117	Nerva–Antonine	ᴺ	Natural causes
Hadrian	117–138	Nerva–Antonine	ᴺ	Natural causes
Antoninus Pius	138–161	Nerva–Antonine	ᴺ	Natural causes
Marcus Aurelius	161–180	Nerva–Antonine	ᴺ	Illness (Antonine Plague)
Lucius Verus	161–169	Nerva–Antonine	ᴺ	Stroke
Commodus	180–192	Nerva–Antonine	ᴺ	Assassinated (strangled)
Pertinax	193	Year of the Five Emperors	Ⅴ	Assassinated (Praetorian Guard)
Didius Julianus	193	Year of the Five Emperors	Ⅴ	Executed (on Senate's order)
Septimius Severus	193–211	Severan	ˢ	Natural causes
Geta	211	Severan	ˢ	Assassinated (on Caracalla's order)
Caracalla	211–217	Severan	ˢ	Assassinated
Macrinus	217–218	Severan	ˢ	Executed
Diadumenian	218	Severan	ˢ	Executed
Elagabalus	218–222	Severan	ˢ	Assassinated (Praetorian Guard)
Severus Alexander	222–235	Severan	ˢ	Assassinated (lynched by troops)
Maximinus I (Thrax)	235–238	Crisis of the Third Century	ᶜ	Assassinated (by his men)
Gordian I	238	Crisis of the Third Century	ᶜ	Suicide
Gordian II	238	Crisis of the Third Century	ᶜ	Killed in battle
Pupienus	238	Crisis of the Third Century	ᶜ	Assassinated (Praetorian Guard)
Balbinus	238	Crisis of the Third Century	ᶜ	Assassinated (Praetorian Guard)
Gordian III	238–244	Crisis of the Third Century	ᶜ	Died on campaign (possibly murdered)
Philip I (the Arab)	244–249	Crisis of the Third Century	ᶜ	Killed in battle
Philip II	247–249	Crisis of the Third Century	ᶜ	Assassinated (Praetorian Guard)
Decius	249–251	Crisis of the Third Century	ᶜ	Killed in battle
Herennius Etruscus	251	Crisis of the Third Century	ᶜ	Killed in battle
Trebonianus Gallus	251–253	Crisis of the Third Century	ᶜ	Assassinated (by his troops)
Hostilian	251	Crisis of the Third Century	ᶜ	Plague (or murdered)
Volusianus	251–253	Crisis of the Third Century	ᶜ	Assassinated (with his father)
Aemilianus	253	Crisis of the Third Century	ᶜ	Assassinated (by his troops)
Valerian	253–260	Crisis of the Third Century	ᶜ	Died in Persian captivity
Gallienus	253–268	Crisis of the Third Century	ᶜ	Assassinated
Saloninus	260	Crisis of the Third Century	ᶜ	Assassinated
Claudius II (Gothicus)	268–270	Crisis of the Third Century	ᶜ	Plague
Quintillus	270	Crisis of the Third Century	ᶜ	Suicide (or killed)
